Name (Social Reason),Legal Designation,Other Designation,Address,City,Postal Code,Province,Country,Latitude,Longitude,Administration Region,Permit #,Measure under the Permit #,Type of Permit,AMBQ Member,Year Founded,Website,Email,Telephone,Facebook,Ratebeer,Untappd,Menu,Twitter,Wikidata,Youtube,Instagram,Pinterest,Snapchat,Other,Notes
LE CHEVAL BLANC ,9068-8912 QUÉBEC INC.,,"809, RUE ONTARIO EST ",MONTRÉAL,H2L 1P1 ,Québec,Canada,45.518207,-73.564277,6,AB001 ,,Producteur artisanal de bière ,1,1987,http://www.lechevalblanc.ca/,fmartel@lechevalblanc.ca,514-522-0211,https://www.facebook.com/Le-Cheval-Blanc-104725816258577,http://www.ratebeer.com/brewers/le-cheval-blanc/1111/,https://untappd.com/LeChevalBlancCo,X,X,?,?,https://www.instagram.com/chevalblancmtl/,?,?,,
L'INOX,NOUVEAUX BRASSEURS ASSOCIES INC.,,"655, GRANDE-ALLÉE EST ",QUÉBEC ,G1R 2K4 ,Québec,Canada,46.806454,-71.215989,3,AB002 ,,Producteur artisanal de bière ,1,1987,http://www.inox.qc.ca/,inox@inox.qc.ca,418-692-2877,https://www.facebook.com/barlinox,http://www.ratebeer.com/brewers/linox-maitres-brasseurs/1110/,https://untappd.com/w/l-inox-ma-tres-brasseurs/17654,https://www.aumenu.info/inox/,X,?,?,https://www.instagram.com/barinoxqc/,?,?,,
MICROBRASSERIE LA DIABLE ,MICROBRASSERIE LA DIABLE INC.,,"117, CHEMIN KANDAHAR, C.P. 2669, SUCC.B ",MONT-TREMBLANT ,J8E 1B1 ,Québec,Canada,46.209756,-74.585661,15,AB009 ,,Producteur artisanal de bière ,0,1997,http://www.microladiable.com/,?,819-681-4546,https://www.facebook.com/ladiablemicro,http://www.ratebeer.com/brewers/microbrasserie-la-diable/1452/,https://untappd.com/w/microbrasserie-la-diable/40267,X,X,?,?,X,?,?,,
BRASSERIE ART. CHEZ GAMBRINUS,9032-8451 QUÉBEC INC.,,"3160, BOULEVARD DES FORGES ",TROIS-RIVIÈRES ,G8Z 1V6 ,Québec,Canada,46.349034,-72.571664,4,AB011 ,,Producteur artisanal de bière ,1,1996,http://www.gambrinus.qc.ca/,gambrinus@cgocable.ca,819-691-3371,https://www.facebook.com/Gambrinus-129524540433200/?fref=ts,http://www.ratebeer.com/brewers/brasserie-chez-gambrinus/1804/,https://untappd.com/w/gambrinus-brasserie-artisanale/33840,X,X,?,?,X,?,?,,
BRASS. ARTISANALE L'AMERE A BOIRE,BRASS. ARTISANALE L'AMERE A BOIRE INC.,,"2049, RUE SAINT-DENIS ",MONTRÉAL ,H2X 3K9 ,Québec,Canada,45.516375,-73.566117,6,AB012 ,,Producteur artisanal de bière ,0,1996,http://www.amereaboire.com/,info@amereaboire.com,514-282-7448,https://www.facebook.com/amereaboire,http://www.ratebeer.com/brewers/lamere-a-boire/912/,https://untappd.com/w/lamere-a-boire/6335,X,https://twitter.com/amereaboire,?,?,X,?,?,,
BRUTOPIA ,9023-7918 QUÉBEC INC.,,"1219, RUE CRESCENT",MONTRÉAL ,H3G 2B1 ,Québec,Canada,45.496724,-73.574436,6,AB013 ,,Producteur artisanal de bière ,0,1997,http://www.brutopia.net/,info@brutopia.net,514-393-9277,https://www.facebook.com/Brutopia-Brew-Pub-30270360433/,http://www.ratebeer.com/brewers/brutopia/914/,https://untappd.com/Brutopiabrewpub,X,https://twitter.com/Brutopia,?,?,https://www.instagram.com/brutopia_brew_pub/,?,?,,
BRASSERIE DIEU DU CIEL,BRASSERIE DIEU DU CIEL INC.,,"29, RUE LAURIER OUEST",MONTRÉAL ,H2T 2N2 ,Québec,Canada,45.522515,-73.5933,6,AB016 ,,Producteur artisanal de bière ,1,1998,http://www.dieuduciel.com/,info@dieuduciel.com,514-490-9555,https://www.facebook.com/BrasserieDieuduCiel/,http://www.ratebeer.com/brewers/dieu-du-ciel/364/,https://untappd.com/w/brasserie-dieu-du-ciel/1674,X,https://twitter.com/Brasseries_DDC,?,?,https://www.instagram.com/brasseriedieuduciel/,?,?,,
LE BROUEMONT ,CHEZ TABBY INC.,,"107, BOULEVARD BROMONT",BROMONT ,J2L 2K7 ,Québec,Canada,45.317971,-72.656949,16,AB017 ,,Producteur artisanal de bière ,0,2004,http://www.brouemont.com/,info@brouemont.com,450-534-0001,https://www.facebook.com/brouemont,http://www.ratebeer.com/brewers/brouemont/3788/,https://untappd.com/w/brouemont-microbrasserie--restaurant/23273,X,X,?,?,X,?,?,,
LES TROIS BRASSEURS (SAINT-DENIS),9190-7121 QUÉBEC INC.,,"1660, RUE SAINT-DENIS",MONTRÉAL ,H2X 3K6 ,Québec,Canada,45.515045,-73.563568,6,AB020 ,,Producteur artisanal de bière ,0,2002,http://www.les3brasseurs.ca/,info@les3brasseurs.ca,514-845-1660,https://www.facebook.com/Les3Brasseurs,http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/,https://untappd.com/Les3BrasseursThe3Brewers,X,https://twitter.com/3BrasseursCA,?,?,https://www.instagram.com/3brasseursca/,?,?,,
LE RÉSERVOIR ,9115-2074 QUÉBEC INC.,,"9, RUE DULUTH ",MONTRÉAL ,H2W 1G7 ,Québec,Canada,45.517212,-73.579193,6,AB023 ,,Producteur artisanal de bière ,0,2002,http://www.brasseriereservoir.ca/,info@brasseriereservoir.ca,514-849-7779,https://www.facebook.com/pages/Brasserie-Reservoir/473621195998462,http://www.ratebeer.com/brewers/reservoir/3059/,https://untappd.com/w/reservoir/18527,X,X,?,?,?,?,?,,
MICRO-BRASSERIE DE LA MARE AU DIABLE,9127-2419 QUÉBEC INC.,,"151, RUE KING OUEST ",SHERBROOKE ,J1H 1P4 ,Québec,Canada,45.401048,-71.891302,5,AB024 ,,Producteur artisanal de bière ,0,2003,https://www.facebook.com/pages/La-Mare-au-Diable/195156190525955,la-mare-au-diable@videotron.ca,819-562-1001,https://www.facebook.com/lamareaudiable/,http://www.ratebeer.com/brewers/la-mare-au-diable/4230/,https://untappd.com/w/la-mare-au-diable/59351,X,X,?,?,?,?,?,,
BEDONDAINE ET BEDONS RONDS,BEDONDAINE ET BEDONS RONDS BRASSEUR ARTISAN INC.,,"255, RUE OSTIGUY ",CHAMBLY ,J3L 2Z7 ,Québec,Canada,45.446502,-73.28606,16,AB028 ,,Producteur artisanal de bière ,1,2005,http://www.bedondaine.com/,info@bedondaine.com,450-447-5165,https://www.facebook.com/bedondaine.bedonsronds/,http://www.ratebeer.com/brewers/bedondaine-et-bedons-ronds/5843/,https://untappd.com/w/bedondaine-bedons-ronds/19446,X,https://twitter.com/bedondaine_br,?,?,?,?,?,,
LES TROIS BRASSEURS (SAINTE-CATHERINE),9190-7121 QUÉBEC INC.,,"732, RUE SAINTE-CATHERINE OUEST ",MONTRÉAL ,H3B 1B9 ,Québec,Canada,45.502451,-73.570372,6,AB030 ,,Producteur artisanal de bière ,0,2005,http://www.les3brasseurs.ca/,info@les3brasseurs.ca,514-788-6333,https://www.facebook.com/3brasseursmcgill,http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/,https://untappd.com/Les3BrasseursThe3Brewers,X,https://twitter.com/3BrasseursCA,?,?,https://www.instagram.com/3brasseursca/,?,?,,
LES TROIS BRASSEURS (SAINT-PAUL),9190-7121 QUÉBEC INC.,,"105, RUE SAINT-PAUL EST ",MONTRÉAL ,H2Y 1G7 ,Québec,Canada,45.506762,-73.553042,6,AB031 ,,Producteur artisanal de bière ,0,2005,http://www.les3brasseurs.ca/,info@les3brasseurs.ca,514-788-6100,https://www.facebook.com/3BrasseursSaintPaul/,http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/,https://untappd.com/Les3BrasseursThe3Brewers,X,https://twitter.com/3BrasseursCA,?,?,https://www.instagram.com/3brasseursca/,?,?,,
BENELUX ,6453872 CANADA INC.,,"245, SHERBROOKE OUEST ",MONTRÉAL ,H2X 1X7 ,Québec,Canada,45.509506,-73.570918,6,AB033 ,,Producteur artisanal de bière ,1,2006,http://www.brasseriebenelux.com/,info@brasseriebenelux.com,514-543-9750,https://www.facebook.com/BrasserieArtisanaleBENELUX,http://www.ratebeer.com/brewers/benelux-brasserie-artisanale/6830/,https://untappd.com/w/benelux-brasserie-artisanale/4092,X,https://twitter.com/ruesherbrooke,?,?,?,?,?,,
LES TROIS BRASSEURS (CRESCENT),9190-7121 QUÉBEC INC.,,"1356, RUE SAINTE-CATHERINE OUEST ",MONTRÉAL ,H3G 1P6 ,Québec,Canada,45.497248,-73.575498,6,AB034 ,,Producteur artisanal de bière ,0,2006,http://www.les3brasseurs.ca/,info@les3brasseurs.ca,514-788-9788,https://www.facebook.com/3BrasseursCrescent,http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/,https://untappd.com/Les3BrasseursThe3Brewers,X,https://twitter.com/3BrasseursCA,?,?,https://www.instagram.com/3brasseursca/,?,?,,
H.E.L.M.,9161-4917 QUÉBEC INC.,,"273, RUE BERNARD OUEST ",MONTRÉAL ,H2V 1T5 ,Québec,Canada,45.524018,-73.605372,6,AB036 ,,Producteur artisanal de bière ,1,2006,http://helmmicrobrasserie.ca/,webmail@helm-mtl.ca,514-276-0473,https://www.facebook.com/Helmmicrobrasseriesurbernard,http://www.ratebeer.com/brewers/helm-brasseur-gourmand/8373/,https://untappd.com/w/helm-microbrasserie/33965,https://www.aumenu.info/helm-microbrasserie-sur-bernard/,https://twitter.com/BrasseurHelm,?,?,https://www.instagram.com/helmmicrobrasserie/,?,?,,
LE SAINT-BOCK BRASSERIE ARTISANALE,LE SAINT-BOCK BRASSERIE ARTISANALE INC.,,"1749, RUE SAINT-DENIS ",MONTRÉAL ,H2X 3K4 ,Québec,Canada,45.515861,-73.564783,6,AB038 ,,Producteur artisanal de bière ,1,2006,http://www.saintbock.com/,info@lesaintbock.com,514-680-8052,https://www.facebook.com/SaintBock/,http://www.ratebeer.com/brewers/le-saint-bock/8288/,https://untappd.com/v/le-saint-bock/56961,X,https://twitter.com/LeSaintBock,?,?,?,?,?,,
LES TROIS BRASSEURS ,9190-7121 QUÉBEC INC.,,"9316, BOULEVARD LEDUC ",BROSSARD ,J4Y 0B3 ,Québec,Canada,45.445687,-73.436091,16,AB041 ,,Producteur artisanal de bière ,0,2008,http://www.les3brasseurs.ca/,info@les3brasseurs.ca,450-676-7215,https://www.facebook.com/3BrasseursBrossard,http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/,https://untappd.com/Les3BrasseursThe3Brewers,X,https://twitter.com/3BrasseursCA,?,?,https://www.instagram.com/3brasseursca/,?,?,,
PUB LA VOIE MALTÉE ,9115-3023 QUÉBEC INC.,,"777, BOULEVARD TALBOT ",CHICOUTIMI,G7H 4B3 ,Québec,Canada,48.41731,-71.045159,2,AB042 ,,Producteur artisanal de bière ,1,2008,http://www.lavoiemaltee.com/,publavoiemaltee@hotmail.com,418-549-4141,https://www.facebook.com/voiemaltee,http://www.ratebeer.com/brewers/la-voie-maltee/3253/,https://untappd.com/w/la-voie-malt-e/10366,https://www.aumenu.info/la-voie-maltee-chicoutimi/,https://twitter.com/VoieMaltee,?,?,?,?,?,,
LES TROIS BRASSEURS ,9190-7121 QUÉBEC INC.,,"2900, AVENUE PIERRE-PÉLADEAU ",LAVAL ,H7T 3B3 ,Québec,Canada,45.562774,-73.744046,13,AB045 ,,Producteur artisanal de bière ,0,2010,http://www.les3brasseurs.ca/,info@les3brasseurs.ca,450-988-4848,https://www.facebook.com/Les3Brasseurs,http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/,https://untappd.com/Les3BrasseursThe3Brewers,X,https://twitter.com/3BrasseursCA,?,?,https://www.instagram.com/3brasseursca/,?,?,,
KORRIGANE ,9208-4136 QUÉBEC INC.,,"380, RUE DORCHESTER ",QUÉBEC,G1K 6A7 ,Québec,Canada,46.813801,-71.226946,3,AB046 ,,Producteur artisanal de bière ,1,2010,http://www.korrigane.ca/,info@korrigane.ca,418-614-0932,https://www.facebook.com/LaKorrigane,http://www.ratebeer.com/brewers/la-korrigane/5995/,https://untappd.com/w/brasserie-la-korrigane/12734,https://www.aumenu.info/brasserie-artisanale-la-korrigane/,X,?,?,?,?,?,,
LA FABRIQUE,COOPÉRATIVE LE CABESTAN,,"360, AVENUE SAINTJÉRÔME ",MATANE ,G4W 3B1 ,Québec,Canada,48.84672,-67.529536,1,AB047 ,,Producteur artisanal de bière ,0,2014,http://www.publafabrique.com/,coop.lecabestan@gmail.com,418-566-4020,https://www.facebook.com/LaFabriqueBrasserieArtisanale/,http://www.ratebeer.com/brewers/la-fabrique/11271/,https://untappd.com/w/brasserie-artisanale-la-fabrique/31931,X,https://twitter.com/publafabrique,Q16664423,?,X,X,?,,
MICROBRASSERIE LA CAPTIVE,MICROBRASSERIE LA CAPTIVE INC.,,"140, BOULEVARD SAINT-BENOIT OUEST ",AMQUI ,G5J 2E8 ,Québec,Canada,48.465671,-67.431517,1,AB048 ,,Producteur artisanal de bière ,0,2010,http://www.lacaptive.ca/,info@lacaptive.ca,418-631-1343,https://www.facebook.com/la.captive,http://www.ratebeer.com/brewers/microbrasserie-la-captive/12349/,https://untappd.com/w/microbrasserie-la-captive/31929,X,X,Q26254100,?,X,X,?,,
