"","Brewery","City","Year.Founded","Address","Latitude","Longitude","Postal.Code","Ratebeer","Untappd","S_untappd"
"1","LE CHEVAL BLANC ","MONTRÉAL","1987","809, RUE ONTARIO EST ",45.518207,-73.564277,"H2L 1P1 ","http://www.ratebeer.com/brewers/le-cheval-blanc/1111/","https://untappd.com/LeChevalBlancCo",3.71
"2","L'INOX","QUÉBEC ","1987","655, GRANDE-ALLÉE EST ",46.806454,-71.215989,"G1R 2K4 ","http://www.ratebeer.com/brewers/linox-maitres-brasseurs/1110/","https://untappd.com/w/l-inox-ma-tres-brasseurs/17654",3.48
"3","MICROBRASSERIE LA DIABLE ","MONT-TREMBLANT ","1997","117, CHEMIN KANDAHAR, C.P. 2669, SUCC.B ",46.209756,-74.585661,"J8E 1B1 ","http://www.ratebeer.com/brewers/microbrasserie-la-diable/1452/","https://untappd.com/w/microbrasserie-la-diable/40267",3.5
"4","BRASSERIE ART. CHEZ GAMBRINUS","TROIS-RIVIÈRES ","1996","3160, BOULEVARD DES FORGES ",46.349034,-72.571664,"G8Z 1V6 ","http://www.ratebeer.com/brewers/brasserie-chez-gambrinus/1804/","https://untappd.com/w/gambrinus-brasserie-artisanale/33840",3.39
"5","BRASS. ARTISANALE L'AMERE A BOIRE","MONTRÉAL ","1996","2049, RUE SAINT-DENIS ",45.516375,-73.566117,"H2X 3K9 ","http://www.ratebeer.com/brewers/lamere-a-boire/912/","https://untappd.com/w/lamere-a-boire/6335",3.5
"6","BRUTOPIA ","MONTRÉAL ","1997","1219, RUE CRESCENT",45.496724,-73.574436,"H3G 2B1 ","http://www.ratebeer.com/brewers/brutopia/914/","https://untappd.com/Brutopiabrewpub",3.39
"7","BRASSERIE DIEU DU CIEL","MONTRÉAL ","1998","29, RUE LAURIER OUEST",45.522515,-73.5933,"H2T 2N2 ","http://www.ratebeer.com/brewers/dieu-du-ciel/364/","https://untappd.com/w/brasserie-dieu-du-ciel/1674",3.9
"8","LE BROUEMONT ","BROMONT ","2004","107, BOULEVARD BROMONT",45.317971,-72.656949,"J2L 2K7 ","http://www.ratebeer.com/brewers/brouemont/3788/","https://untappd.com/w/brouemont-microbrasserie--restaurant/23273",3.68
"9","LES TROIS BRASSEURS (SAINT-DENIS)","MONTRÉAL ","2002","1660, RUE SAINT-DENIS",45.515045,-73.563568,"H2X 3K6 ","http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/","https://untappd.com/Les3BrasseursThe3Brewers",3.39
"10","LE RÉSERVOIR ","MONTRÉAL ","2002","9, RUE DULUTH ",45.517212,-73.579193,"H2W 1G7 ","http://www.ratebeer.com/brewers/reservoir/3059/","https://untappd.com/w/reservoir/18527",3.57
"11","MICRO-BRASSERIE DE LA MARE AU DIABLE","SHERBROOKE ","2003","151, RUE KING OUEST ",45.401048,-71.891302,"J1H 1P4 ","http://www.ratebeer.com/brewers/la-mare-au-diable/4230/","https://untappd.com/w/la-mare-au-diable/59351",3.46
"12","BEDONDAINE ET BEDONS RONDS","CHAMBLY ","2005","255, RUE OSTIGUY ",45.446502,-73.28606,"J3L 2Z7 ","http://www.ratebeer.com/brewers/bedondaine-et-bedons-ronds/5843/","https://untappd.com/w/bedondaine-bedons-ronds/19446",3.62
"13","LES TROIS BRASSEURS (SAINTE-CATHERINE)","MONTRÉAL ","2005","732, RUE SAINTE-CATHERINE OUEST ",45.502451,-73.570372,"H3B 1B9 ","http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/","https://untappd.com/Les3BrasseursThe3Brewers",3.39
"14","LES TROIS BRASSEURS (SAINT-PAUL)","MONTRÉAL ","2005","105, RUE SAINT-PAUL EST ",45.506762,-73.553042,"H2Y 1G7 ","http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/","https://untappd.com/Les3BrasseursThe3Brewers",3.39
"15","BENELUX ","MONTRÉAL ","2006","245, SHERBROOKE OUEST ",45.509506,-73.570918,"H2X 1X7 ","http://www.ratebeer.com/brewers/benelux-brasserie-artisanale/6830/","https://untappd.com/w/benelux-brasserie-artisanale/4092",3.72
